Unnamed: 0,弹幕内容,视频名称
0,没关系，总有人要s的（doge）,2024春晚小品押题《三胎》
1,能活那么久吗，,2024春晚小品押题《三胎》
2,十八十八，两年生仨,2024春晚小品押题《三胎》
3,导演：已经汗流浃背了,2024春晚小品押题《三胎》
4,6，太6了，感觉被裹了小脑,2024春晚小品押题《三胎》
5,音乐一出蚌埠住了,2024春晚小品押题《三胎》
6,那怎么不生十个呢，压力更小（doge）,2024春晚小品押题《三胎》
7,笑拥还是太新了，必须再老一点尬一点（,2024春晚小品押题《三胎》
8,《隐形的丈夫》,2024春晚小品押题《三胎》
9,怀了个三棱锥,2024春晚小品押题《三胎》
10,这个包袱比正常水平高级些,2024春晚小品押题《三胎》
11,大年三十不在公司吗,2024春晚小品押题《三胎》
12,很抽象，但是很符合那些专家的说法,2024春晚小品押题《三胎》
13,盲猜结尾真的怀上了，大家一起包饺子,2024春晚小品押题《三胎》
14,怀的多面体,2024春晚小品押题《三胎》
15,汗流浃背了,2024春晚小品押题《三胎》
16,二战转折点,2024春晚小品押题《三胎》
17,60年后你和大伟90啦,2024春晚小品押题《三胎》
18,“好啦”二战转折点,2024春晚小品押题《三胎》
19,《专家》,2024春晚小品押题《三胎》
20,《三明治》,2024春晚小品押题《三胎》
21,Bgm对了,2024春晚小品押题《三胎》
22,绝了绝了,2024春晚小品押题《三胎》
23,说话太搞笑了，太自然了，不行,2024春晚小品押题《三胎》
24,考研英语一图画作文：《养老踢皮球》,2024春晚小品押题《三胎》
25,居然有点好笑,2024春晚小品押题《三胎》
26,其实是个大棉袄,2024春晚小品押题《三胎》
27,三棱锥确实不正常,2024春晚小品押题《三胎》
28,《三个和尚没水喝》,2024春晚小品押题《三胎》
29,18岁生三胎,2024春晚小品押题《三胎》
30,煽情の小曲儿,2024春晚小品押题《三胎》
31,开始煽情,2024春晚小品押题《三胎》
32,最后肯定是真有了,2024春晚小品押题《三胎》
33,盲猜结尾和解并且真怀了,2024春晚小品押题《三胎》
34,三胎转折点，到斩杀线了,2024春晚小品押题《三胎》
35,18岁这梗太新了春晚不会用,2024春晚小品押题《三胎》
36,《我错了》,2024春晚小品押题《三胎》
37,“单口相声”,2024春晚小品押题《三胎》
38,生三胎为了多包点饺子,2024春晚小品押题《三胎》
39,天哪我怎么感觉真的会有,2024春晚小品押题《三胎》
40,《三十了》,2024春晚小品押题《三胎》
41,能不能活这么久先不提，培养需要时间有一方不工作照顾家就会少一分钱,2024春晚小品押题《三胎》
42,开头几句就听得心惊肉跳 什么人间惨剧,2024春晚小品押题《三胎》
43,什么时候包饺子,2024春晚小品押题《三胎》
44,是我不懂事儿了（黛玉音）,2024春晚小品押题《三胎》
45,盲猜最后真有了,2024春晚小品押题《三胎》
46,一直都没笑，直到弹幕有人说“二战转折点”，我tm笑死了好哈哈哈哈哈哈哈哈哈哈,2024春晚小品押题《三胎》
47,触发关键词,2024春晚小品押题《三胎》
48,二战转折点,2024春晚小品押题《三胎》
49,救命三室一厅,2024春晚小品押题《三胎》
50,好啦！,2024春晚小品押题《三胎》
51,最后发现是真怀,2024春晚小品押题《三胎》
52,《出音味来》,2024春晚小品押题《三胎》
53,哪吒这个太巧妙了现在的春晚编剧想不出来的,2024春晚小品押题《三胎》
54,好家伙我还以为一个没生的催呢，生了两个还催。。,2024春晚小品押题《三胎》
55,真的汗流浃背了,2024春晚小品押题《三胎》
56,上小曲,2024春晚小品押题《三胎》
57,像是张小斐会演的角色,2024春晚小品押题《三胎》
58,坏了，有点搞笑了,2024春晚小品押题《三胎》
59,算术最好的一集,2024春晚小品押题《三胎》
60,这不是沈腾和马丽那个“譬如我就是那个譬如呢”,2024春晚小品押题《三胎》
61,好算数！,2024春晚小品押题《三胎》
62,感觉看过,2024春晚小品押题《三胎》
63,数学挺好,2024春晚小品押题《三胎》
64,是个哪吒,2024春晚小品押题《三胎》
65,盲猜结尾真怀了,2024春晚小品押题《三胎》
66,←前面三棱锥的太逆天了,2024春晚小品押题《三胎》
67,《二战转折点》,2024春晚小品押题《三胎》
68,18生三胎 彳亍,2024春晚小品押题《三胎》
69,这个笑料已经不算尴尬了,2024春晚小品押题《三胎》
70,《好啦》,2024春晚小品押题《三胎》
71,太有内味儿了,2024春晚小品押题《三胎》
72,听懂掌声！,2024春晚小品押题《三胎》
73,如果节目达不到这个程度怎办,2024春晚小品押题《三胎》
74,春晚味儿好足哈哈哈哈哈,2024春晚小品押题《三胎》
75,也不一定是六个。,2024春晚小品押题《三胎》
76,这味太对了已经在看春晚了,2024春晚小品押题《三胎》
77,太有才了,2024春晚小品押题《三胎》
78,笑死,2024春晚小品押题《三胎》
79,三棱锥笑死我了哈哈哈哈,2024春晚小品押题《三胎》
80,太是那味儿了,2024春晚小品押题《三胎》
81,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,2024春晚小品押题《三胎》
