词,频次
哈哈哈,888
看,477
春晚,406
2023,325
年,304
饺子,228
啊啊啊,219
笑,158
小品,153
孩子,117
考古,117
上,105
照相馆,104
支持,100
到,98
2024,98
梗,97
笑死,97
逆天,95
个,92
包饺子,92
让,90
想,84
还有,84
6,81
感觉,80
开始,80
又,79
比,74
懂,74
饺,72
挺,71
好笑,68
能,68
生,67
味儿,66
前来,66
多,65
知道,65
好看,65
才,64
得,63
今年,63
去,62
因,62
把,61
或,61
抽象,59
中,59
“,57
出来,57
经典,57
视频,57
观众,57
结婚,56
好好,56
导演,54
二战转折点,53
谁,53
后,52
有点,52
死,52
应该,52
周深,52
汗流浃背,51
尬,51
一起,51
啥,51
太美,51
听懂,50
绷,50
救命,48
包,48
doge,47
大,47
确实,47
泪目,47
押,47
演员,47
天才,46
听,45
节目,45
过,45
不住,45
演,45
吵架,45
哭,44
被,43
这是,43
小,42
比春晚好看,42
押题,42
可,42
好评,41
不会,40
以为,40
尴尬,40
过年,40
三,39
看到,39
砸,39
为什么,38
像,38
不好,38
快,37
不错,37
太好了,37
蒸,37
对味,36
省流,36
着,36
不结,36
住,35
叫,35
生孩子,35
几个,35
卧槽,35
这下,35
唱,35
笑场,34
回顾,34
23,34
脱口秀,34
老,33
一,33
突然,33
完,33
去年,33
不行,32
这种,32
直接,32
吃,32
我要,32
有意思,32
老师,32
教育,32
三胎,31
为了,31
负担,31
月,31
最,31
爱看,31
00,31
再,30
三个,30
沈腾,30
做,30
1,30
最后,29
用,29
一定,29
牛,29
这里,29
玩,29
666,29
包饺砸,29
一年,29
看过,28
误会,28
一下,28
喜欢,28
吐,28
林俊杰,28
蚌埠,27
?,27
真是,27
字,27
骄傲,27
那么,26
更,26
好像,26
味太冲,26
等,26
恶心,26
别,26
不如,26
10,26
相声,26
但,26
一点,25
居然,25
俩,25
咋,25
回来,25
哦,25
真实,25
点,25
时间,24
太对,24
up,24
出生,24
不了,24
里,24
起来,24
一块,24
68,24
禹宙中欣,24
搞笑,23
靠,23
呗,23
20,23
12,23
菜,23
大学生,23
非洲,23
结尾,22
天,22
竟然,22
太对味,22
老人,22
一样,22
这些,22
邻居,22
记得,22
赶上,22
2025,22
2022,22
奶龙,22
杂技,22
好事,22
其实,21
新,21
出音味,21
两个,21
坏,21
一集,21
谢谢,21
逼,21
强行,21
不要,21
呃,21
艺术,21
预测,21
出,21
唱歌,21
三小只,21
盲猜,20
发现,20
演技,20
这句,20
么,20
漫长,20
孙涛,20
请,20
刷,20
有人,19
不生,19
必须,19
煽情,19
照顾,19
带,19
细节,19
味,19
意义,19
初生,19
意思,19
内味,19
原来,19
离谱,19
草,19
春节,19
打,19
跟,19
美,19
时代,19
水枪,19
嫂子,19
对唱,19
大家,18
肯定,18
岁,18
2,18
起,18
味儿太冲,18
80,18
男,18
生活,18
根本,18
手机,18
杀,18
摄影师,18
回家,18
不看,18
认识,18
岳云鹏,18
成毅,18
绝,17
养,17
30,17
妈,17
卷,17
上班,17
电视,17
东西,17
全,17
预制,17
冯巩,17
开除,17
高,17
王,17
汪苏泷,17
哪,16
太有,16
不到,16
释怀,16
开心,16
嘛,16
走,16
行,16
见,16
11,16
烂,16
毁,16
适用,16
完全,16
